SubjectID,contrast,ratios
7,0.4,0.330667743
7,0.4,0.443076406
7,0.4,0.269769334
7,0.4,0.550784889
7,0.4,0.401120899
7,0.9,0.565949996
7,0.9,0.683965078
7,0.9,0.68008209
7,0.9,0.376451926
7,0.9,0.309675734
7,0.9,0.499506825
7,0.9,0.643415773
7,0.9,0.725051283
7,0.9,0.447299037
7,0.9,0.451240465
7,0.9,0.353880408
7,0.9,0.451436658
7,0.9,0.458790411
7,0.9,0.679836066
7,0.9,0.569425735
8,0.4,0.49455856
8,0.4,0.714482407
8,0.4,0.519658701
8,0.4,0.229540076
8,0.4,0.315556843
8,0.4,0.453984925
8,0.4,0.605774672
8,0.4,0.624500032
8,0.4,0.428350491
8,0.4,0.104644388
8,0.4,0.622797902
8,0.4,0.401082212
8,0.4,0.36846737
8,0.4,0.469828692
8,0.4,0.16478741
8,0.4,0.501834302
8,0.4,0.326561339
8,0.4,0.424524409
8,0.9,0.658342918
8,0.9,0.44940127
8,0.9,0.786869396
8,0.9,0.353827184
8,0.9,0.234458802
8,0.9,0.188510667
8,0.9,0.110262089
8,0.9,0.350161267
8,0.9,0.364550743
8,0.9,0.526234384
8,0.9,0.481670974
8,0.9,0.739924976
8,0.9,0.449081774
8,0.9,0.20996837
8,0.9,0.453903757
8,0.9,0.664303479
8,0.9,0.549569124
8,0.9,0.352983889
9,0.4,0.507073243
9,0.4,0.448903806
9,0.4,0.392545415
9,0.4,0.369851124
9,0.4,0.649621757
9,0.4,0.550514178
9,0.4,0.320811241
9,0.4,0.29914798
9,0.4,0.421308652
9,0.4,0.497592901
9,0.4,0.443753137
9,0.4,0.405132184
9,0.9,0.578541097
9,0.9,0.448656072
9,0.9,0.402055517
9,0.9,0.686850854
9,0.9,0.508767235
9,0.9,0.719471229
9,0.9,0.465093674
9,0.9,0.586572356
9,0.9,0.636507108
9,0.9,0.529745722
9,0.9,0.404054683
9,0.9,0.312390662
