"","IDs","nTrial","Conds","Sat","Tdata.perc","Tdata.duration"
"174","AJ",2,"G_V",0.9,0,199968
"175","AJ",2,"G_V",0.9,2,4176320
"176","AJ",2,"G_V",0.9,0,111984
"177","AJ",2,"G_V",0.9,4,3696272
"178","AJ",2,"G_V",0.9,0,208000
"179","AJ",2,"G_V",0.9,1,1368064
"180","AJ",2,"G_V",0.9,0,151968
"181","AJ",2,"G_V",0.9,3,5240416
"182","AJ",2,"G_V",0.9,0,63968
"183","AJ",2,"G_V",0.9,4,1704112
"184","AJ",2,"G_V",0.9,0,192000
"185","AJ",2,"G_V",0.9,1,1336064
"186","AJ",2,"G_V",0.9,0,183984
"187","AJ",2,"G_V",0.9,2,2616208
"188","AJ",2,"G_V",0.9,0,135952
"189","AJ",2,"G_V",0.9,4,1400080
"190","AJ",2,"G_V",0.9,0,159968
"191","AJ",2,"G_V",0.9,1,4840400
"192","AJ",2,"G_V",0.9,0,143968
"193","AJ",2,"G_V",0.9,4,1176064
"194","AJ",2,"G_V",0.9,0,208000
"195","AJ",2,"G_V",0.9,2,1976112
"196","AJ",2,"G_V",0.9,0,127984
"197","AJ",2,"G_V",0.9,3,7344560
"198","AJ",2,"G_V",0.9,0,103984
"199","AJ",2,"G_V",0.9,1,1800096
"200","AJ",2,"G_V",0.9,0,151968
"201","AJ",2,"G_V",0.9,2,2584176
"202","AJ",2,"G_V",0.9,0,151968
"203","AJ",2,"G_V",0.9,3,2832208
"204","AJ",2,"G_V",0.9,0,71968
"205","AJ",2,"G_V",0.9,4,3488256
"206","AJ",2,"G_V",0.9,0,199952
"207","AJ",2,"G_V",0.9,3,2672208
"208","AJ",2,"G_V",0.9,0,207952
"209","AJ",2,"G_V",0.9,2,1896128
"210","AJ",2,"G_V",0.9,0,183968
"211","AJ",2,"G_V",0.9,3,2720208
"212","AJ",2,"G_V",0.9,0,71952
"213","AJ",3,"R_H",0.4,0,32
"214","AJ",3,"R_H",0.4,2,228608
"215","AJ",3,"R_H",0.4,0,872064
"216","AJ",3,"R_H",0.4,2,2752192
"217","AJ",3,"R_H",0.4,0,199968
"218","AJ",3,"R_H",0.4,3,1312064
"219","AJ",3,"R_H",0.4,0,207984
"220","AJ",3,"R_H",0.4,1,1312064
"221","AJ",3,"R_H",0.4,0,151984
"222","AJ",3,"R_H",0.4,4,3064224
"223","AJ",3,"R_H",0.4,0,111952
"224","AJ",3,"R_H",0.4,3,1504096
"225","AJ",3,"R_H",0.4,0,184032
"226","AJ",3,"R_H",0.4,2,4520288
"227","AJ",3,"R_H",0.4,0,71952
"228","AJ",3,"R_H",0.4,2,1104048
"229","AJ",3,"R_H",0.4,0,552016
"230","AJ",3,"R_H",0.4,2,1352048
"231","AJ",3,"R_H",0.4,0,55968
"232","AJ",3,"R_H",0.4,4,1104048
"233","AJ",3,"R_H",0.4,0,199968
"234","AJ",3,"R_H",0.4,1,4096304
"235","AJ",3,"R_H",0.4,0,239968
"236","AJ",3,"R_H",0.4,3,1472096
"237","AJ",3,"R_H",0.4,0,175984
"238","AJ",3,"R_H",0.4,2,6144480
"239","AJ",3,"R_H",0.4,0,295984
"240","AJ",3,"R_H",0.4,1,1648096
"241","AJ",3,"R_H",0.4,0,167984
"242","AJ",3,"R_H",0.4,3,912048
"243","AJ",3,"R_H",0.4,0,327984
"244","AJ",3,"R_H",0.4,1,1192064
"245","AJ",3,"R_H",0.4,0,127984
"246","AJ",3,"R_H",0.4,4,3880288
"247","AJ",3,"R_H",0.4,0,199984
"248","AJ",3,"R_H",0.4,2,2392160
"249","AJ",3,"R_H",0.4,0,287984
"250","AJ",3,"R_H",0.4,1,4080320
"251","AJ",3,"R_H",0.4,0,199936
"252","AJ",3,"R_H",0.4,2,640000
"253","AJ",3,"R_H",0.4,0,176000
"254","AJ",3,"R_H",0.4,3,1920128
"255","AJ",3,"R_H",0.4,0,311984
"256","AJ",3,"R_H",0.4,2,1616112
"257","AJ",3,"R_H",0.4,0,240000
"258","AJ",3,"R_H",0.4,3,1656064
"259","AJ",3,"R_H",0.4,0,167968
"260","AJ",3,"R_H",0.4,2,1048048
"261","AJ",3,"R_H",0.4,0,136000
"262","AJ",3,"R_H",0.4,4,2472160
"263","AJ",3,"R_H",0.4,0,127952
"264","AJ",3,"R_H",0.4,1,1448096
"265","AJ",3,"R_H",0.4,0,191984
"266","AJ",3,"R_H",0.4,2,1648080
"267","AJ",3,"R_H",0.4,0,247968
"268","AJ",3,"R_H",0.4,1,3024240
"269","AJ",3,"R_H",0.4,0,223984
"270","AJ",3,"R_H",0.4,2,327984
"271","AJ",3,"R_H",0.4,0,208016
"272","AJ",3,"R_H",0.4,3,2936192
"273","AJ",3,"R_H",0.4,0,167968
"274","AJ",3,"R_H",0.4,2,4240320
"275","AJ",3,"R_H",0.4,0,263984
"276","AJ",3,"R_H",0.4,1,1936128
"277","AJ",3,"R_H",0.4,0,112000
"278","AJ",3,"R_H",0.4,4,1504064
"279","AJ",3,"R_H",0.4,0,175984
"280","AJ",3,"R_H",0.4,1,1024032
"281","AJ",3,"R_H",0.4,0,2e+05
"282","AJ",3,"R_H",0.4,3,880016
"283","AJ",3,"R_H",0.4,0,151968
"284","AJ",3,"R_H",0.4,2,2744208
"285","AJ",3,"R_H",0.4,0,272000
"286","AJ",3,"R_H",0.4,3,1064048
"287","AJ",3,"R_H",0.4,0,175984
"288","AJ",3,"R_H",0.4,1,1632096
"289","AJ",3,"R_H",0.4,0,32
"290","AJ",3,"R_H",0.4,4,1824064
"291","AJ",3,"R_H",0.4,0,167968
"292","AJ",3,"R_H",0.4,1,2944224
"293","AJ",3,"R_H",0.4,0,279984
"294","AJ",3,"R_H",0.4,2,3048224
"295","AJ",3,"R_H",0.4,0,248000
"296","AJ",3,"R_H",0.4,1,3280224
"297","AJ",3,"R_H",0.4,0,528016
"298","AJ",3,"R_H",0.4,2,5480416
"299","AJ",3,"R_H",0.4,0,295984
"300","AJ",3,"R_H",0.4,1,1120048
"301","AJ",3,"R_H",0.4,0,528032
"302","AJ",3,"R_H",0.4,3,1424048
"303","AJ",3,"R_H",0.4,0,151968
"304","AJ",3,"R_H",0.4,2,1472080
"305","AJ",3,"R_H",0.4,0,407984
"306","AJ",3,"R_H",0.4,1,5512432
"307","AJ",3,"R_H",0.4,0,360000
"308","AJ",3,"R_H",0.4,2,1504048
"309","AJ",3,"R_H",0.4,0,135984
"310","AJ",3,"R_H",0.4,4,1080064
"311","AJ",3,"R_H",0.4,0,263968
"312","AJ",3,"R_H",0.4,1,1592112
"313","AJ",3,"R_H",0.4,0,192000
"314","AJ",3,"R_H",0.4,2,2568160
"315","AJ",3,"R_H",0.4,0,79984
"316","AJ",3,"R_H",0.4,4,2512160
"317","AJ",3,"R_H",0.4,0,135968
"318","AJ",3,"R_H",0.4,1,2216160
"319","AJ",3,"R_H",0.4,0,183984
"320","AJ",3,"R_H",0.4,2,2344144
"321","AJ",3,"R_H",0.4,0,39984
"322","AJ",3,"R_H",0.4,4,1160048
"323","AJ",3,"R_H",0.4,0,296032
"324","AJ",3,"R_H",0.4,1,5672384
"325","AJ",3,"R_H",0.4,0,215984
"326","AJ",3,"R_H",0.4,2,2664176
"327","AJ",3,"R_H",0.4,0,87984
"328","AJ",3,"R_H",0.4,4,3128240
"329","AJ",3,"R_H",0.4,0,175952
"330","AJ",3,"R_H",0.4,3,3576256
"331","AJ",3,"R_H",0.4,0,135968
"332","AJ",4,"G_V",0.4,0,32
"333","AJ",4,"G_V",0.4,4,2011152
"334","AJ",4,"G_V",0.4,0,183968
"335","AJ",4,"G_V",0.4,1,1616096
"336","AJ",4,"G_V",0.4,0,167984
"337","AJ",4,"G_V",0.4,3,1168048
"338","AJ",4,"G_V",0.4,0,183984
"339","AJ",4,"G_V",0.4,2,2048128
"340","AJ",4,"G_V",0.4,0,295984
"341","AJ",4,"G_V",0.4,1,5064368
"342","AJ",4,"G_V",0.4,0,135984
"343","AJ",4,"G_V",0.4,4,1240080
"344","AJ",4,"G_V",0.4,0,215984
"345","AJ",4,"G_V",0.4,2,984032
"346","AJ",4,"G_V",0.4,0,176000
"347","AJ",4,"G_V",0.4,3,5464384
"348","AJ",4,"G_V",0.4,0,143968
"349","AJ",4,"G_V",0.4,4,2344160
"350","AJ",4,"G_V",0.4,0,175968
"351","AJ",4,"G_V",0.4,1,2200176
"352","AJ",4,"G_V",0.4,0,175968
"353","AJ",4,"G_V",0.4,3,1464080
"354","AJ",4,"G_V",0.4,0,151968
"355","AJ",4,"G_V",0.4,2,1344064
"356","AJ",4,"G_V",0.4,0,255984
"357","AJ",4,"G_V",0.4,1,3896304
"358","AJ",4,"G_V",0.4,0,191984
"359","AJ",4,"G_V",0.4,2,544000
"360","AJ",4,"G_V",0.4,0,224000
"361","AJ",4,"G_V",0.4,3,431968
"362","AJ",4,"G_V",0.4,0,152000
"363","AJ",4,"G_V",0.4,4,864016
"364","AJ",4,"G_V",0.4,0,215968
"365","AJ",4,"G_V",0.4,2,584016
"366","AJ",4,"G_V",0.4,0,176000
"367","AJ",4,"G_V",0.4,3,2616176
"368","AJ",4,"G_V",0.4,0,184000
"369","AJ",4,"G_V",0.4,2,992032
"370","AJ",4,"G_V",0.4,0,168000
"371","AJ",4,"G_V",0.4,4,3424240
"372","AJ",4,"G_V",0.4,0,159968
"373","AJ",4,"G_V",0.4,3,1904128
"374","AJ",4,"G_V",0.4,0,119968
"375","AJ",4,"G_V",0.4,1,2640192
"376","AJ",4,"G_V",0.4,0,55984
"377","AJ",4,"G_V",0.4,4,1808096
"378","AJ",4,"G_V",0.4,0,167984
"379","AJ",4,"G_V",0.4,2,1568096
"380","AJ",4,"G_V",0.4,0,319984
"381","AJ",4,"G_V",0.4,1,4552352
"382","AJ",4,"G_V",0.4,0,215968
"383","AJ",4,"G_V",0.4,2,808032
"384","AJ",4,"G_V",0.4,0,135984
"385","AJ",4,"G_V",0.4,3,4696384
"386","AJ",4,"G_V",0.4,0,95936
"387","AJ",4,"G_V",0.4,1,1088064
"388","AJ",4,"G_V",0.4,0,143968
"389","AJ",4,"G_V",0.4,3,3168256
"390","AJ",4,"G_V",0.4,0,135984
"391","AJ",4,"G_V",0.4,2,1456080
"392","AJ",4,"G_V",0.4,0,232000
"393","AJ",4,"G_V",0.4,1,2240128
"394","AJ",4,"G_V",0.4,0,87984
"395","AJ",4,"G_V",0.4,4,2080128
"396","AJ",4,"G_V",0.4,0,168000
"397","AJ",4,"G_V",0.4,3,5048384
"398","AJ",4,"G_V",0.4,0,87984
"399","AJ",4,"G_V",0.4,4,3616256
"400","AJ",4,"G_V",0.4,0,183968
"401","AJ",4,"G_V",0.4,1,1648112
"402","AJ",4,"G_V",0.4,0,175984
"403","AJ",4,"G_V",0.4,3,1216048
"404","AJ",4,"G_V",0.4,0,183968
"405","AJ",4,"G_V",0.4,2,2408176
"406","AJ",4,"G_V",0.4,0,263984
"407","AJ",4,"G_V",0.4,1,3136208
"408","AJ",4,"G_V",0.4,0,231968
"409","AJ",4,"G_V",0.4,2,1824128
"410","AJ",4,"G_V",0.4,0,135984
"411","AJ",4,"G_V",0.4,3,1440080
"412","AJ",4,"G_V",0.4,0,175984
"413","AJ",4,"G_V",0.4,2,1976128
"414","AJ",4,"G_V",0.4,0,280000
"415","AJ",4,"G_V",0.4,1,6528512
"416","AJ",4,"G_V",0.4,0,1704112
"417","AJ",4,"G_V",0.4,3,1048032
"418","AJ",4,"G_V",0.4,0,159984
"419","AJ",4,"G_V",0.4,2,1336048
"420","AJ",4,"G_V",0.4,0,176000
"421","AJ",4,"G_V",0.4,4,3480256
"422","AJ",4,"G_V",0.4,0,199984
"423","AJ",4,"G_V",0.4,3,3720288
"424","AJ",4,"G_V",0.4,0,215968
"425","AJ",4,"G_V",0.4,2,1456096
"426","AJ",4,"G_V",0.4,0,183984
"427","AJ",4,"G_V",0.4,4,1376080
"428","AJ",4,"G_V",0.4,0,207984
"429","AJ",4,"G_V",0.4,1,1360048
"430","AJ",4,"G_V",0.4,0,208000
"431","AJ",4,"G_V",0.4,3,2840208
"432","AJ",4,"G_V",0.4,0,167968
"433","AJ",4,"G_V",0.4,4,3144240
"434","AJ",4,"G_V",0.4,0,167968
"435","AJ",4,"G_V",0.4,1,2192144
"436","AJ",4,"G_V",0.4,0,231968
"437","AJ",4,"G_V",0.4,2,2544176
"438","AJ",4,"G_V",0.4,0,175984
"439","AJ",4,"G_V",0.4,3,3768272
"440","AJ",4,"G_V",0.4,0,63952
"441","AJ",4,"G_V",0.4,4,2072144
"442","AJ",4,"G_V",0.4,0,103984
"443","AJ",4,"G_V",0.4,1,1304064
"444","AJ",4,"G_V",0.4,0,240016
"445","AJ",4,"G_V",0.4,4,1344048
"446","AJ",4,"G_V",0.4,0,167984
"447","AJ",4,"G_V",0.4,1,3552272
"448","AJ",4,"G_V",0.4,0,392000
"449","AJ",4,"G_V",0.4,2,335968
"450","AJ",4,"G_V",0.4,0,175984
"451","AJ",4,"G_V",0.4,3,2896192
"452","AJ",4,"G_V",0.4,0,47968
"453","AJ",5,"R_H",0.9,0,32
"454","AJ",5,"R_H",0.9,3,2286592
